date,symbol,side,shares
2023-11-01,002594.SZ,buy,19680.95
2023-11-02,601318.SH,buy,11864.27
2023-11-02,000858.SZ,buy,8731.82
2023-11-02,002594.SZ,buy,9326.03
2023-11-03,600519.SH,buy,7995.18
2023-11-03,601318.SH,sell,16500.55
2023-11-03,000858.SZ,buy,17724.63
2023-11-06,600000.SH,buy,7990.43
2023-11-06,300750.SZ,sell,17253.8
2023-11-06,002594.SZ,buy,19100.1
2023-11-07,600519.SH,sell,7122.61
2023-11-07,002594.SZ,buy,7633.53
2023-11-07,600036.SH,sell,23717.97
2023-11-08,300750.SZ,buy,18031.08
2023-11-08,601318.SH,sell,21227.01
2023-11-08,000858.SZ,sell,11255.88
2023-11-09,600000.SH,sell,10052.95
2023-11-09,000001.SZ,sell,15471.38
2023-11-09,300750.SZ,sell,18338.29
2023-11-10,000001.SZ,buy,9182.38
2023-11-10,002594.SZ,sell,12454.94
2023-11-10,600036.SH,buy,15062.94
2023-11-13,600000.SH,buy,11926.49
2023-11-13,000001.SZ,sell,17213.7
2023-11-13,000858.SZ,sell,23251.53
2023-11-14,601318.SH,sell,16990.11
2023-11-14,000858.SZ,buy,18746.07
2023-11-14,002594.SZ,sell,13244.58
2023-11-15,600000.SH,sell,11597.05
2023-11-15,600519.SH,buy,13768.24
2023-11-15,600036.SH,buy,14111.09
2023-11-16,600000.SH,sell,13086.9
2023-11-16,600519.SH,buy,12174.5
2023-11-16,002594.SZ,buy,7325.09
2023-11-17,601318.SH,sell,14237.11
2023-11-17,000858.SZ,sell,8102.98
2023-11-17,600036.SH,sell,15475.57
2023-11-20,600519.SH,sell,18568.18
2023-11-20,300750.SZ,sell,14466.78
2023-11-20,002594.SZ,buy,10240.22
2023-11-21,000001.SZ,sell,9178.34
2023-11-21,300750.SZ,buy,19614.54
2023-11-21,000858.SZ,sell,8842.92
2023-11-22,000001.SZ,sell,7027.26
2023-11-22,601318.SH,sell,7351.21
2023-11-22,600036.SH,buy,11333.45
2023-11-23,600000.SH,buy,22154.62
2023-11-23,601318.SH,sell,17386.28
2023-11-23,000858.SZ,sell,13327.62
2023-11-24,600519.SH,buy,14208.7
2023-11-24,300750.SZ,buy,11597.19
2023-11-24,002594.SZ,buy,6472.4
2023-11-27,600519.SH,buy,19099.78
2023-11-27,000001.SZ,sell,12554.07
2023-11-27,300750.SZ,sell,20380.94
2023-11-28,600519.SH,sell,20245.04
2023-11-28,000858.SZ,sell,16771.4
2023-11-28,600036.SH,buy,11330.14
2023-11-29,000001.SZ,buy,6527.15
2023-11-29,300750.SZ,buy,15311.89
2023-11-29,601318.SH,buy,10937.69
2023-11-30,000001.SZ,sell,16477.93
2023-11-30,300750.SZ,buy,18117.3
2023-11-30,601318.SH,buy,8024.23
2023-12-01,600000.SH,sell,14521.91
2023-12-01,601318.SH,sell,18320.11
2023-12-01,002594.SZ,sell,6581.14
2023-12-04,600000.SH,sell,15915.86
2023-12-04,000001.SZ,buy,25084.51
2023-12-04,002594.SZ,buy,11768.09
2023-12-05,600519.SH,buy,8030.45
2023-12-05,300750.SZ,sell,12393.11
2023-12-05,002594.SZ,buy,19985.23
2023-12-06,600000.SH,sell,9559.7
2023-12-06,600519.SH,sell,6104.78
2023-12-06,002594.SZ,sell,11098.6
2023-12-07,600000.SH,sell,5940.68
2023-12-07,000001.SZ,buy,26016.85
2023-12-07,600036.SH,buy,16361.9
2023-12-08,600000.SH,sell,11048.97
2023-12-08,300750.SZ,sell,9810.66
2023-12-08,002594.SZ,buy,9212.1
2023-12-11,600519.SH,sell,6491.45
2023-12-11,000001.SZ,buy,18874.27
2023-12-11,000858.SZ,buy,26282.55
2023-12-12,600519.SH,sell,8738.76
2023-12-12,000001.SZ,sell,20492.9
2023-12-12,002594.SZ,sell,6567.03
2023-12-13,600000.SH,sell,11209.73
2023-12-13,600519.SH,sell,6285.08
2023-12-13,601318.SH,sell,10829.47
2023-12-14,600519.SH,buy,10834.83
2023-12-14,300750.SZ,buy,8849.56
2023-12-14,600036.SH,buy,14358.15
2023-12-15,300750.SZ,sell,8532.5
2023-12-15,000858.SZ,buy,7497.66
2023-12-15,600036.SH,buy,9474.27
2023-12-18,600000.SH,buy,11197.36
2023-12-18,600519.SH,buy,10065.91
2023-12-18,601318.SH,sell,7421.77
2023-12-19,000001.SZ,buy,20949.06
2023-12-19,000858.SZ,buy,16674.91
2023-12-19,002594.SZ,buy,13153.66
2023-12-20,600000.SH,sell,16356.35
2023-12-20,300750.SZ,sell,6945.61
2023-12-20,000858.SZ,buy,15852.65
2023-01-04,999999.SH,buy,10000.0
